CD_SETOR,CD_QUADRA,CD_FACE,NM_TIP_LOG,NM_TIT_LOG,NM_LOG,TOT_RES,TOT_GERAL
"352940105000013","001","004",RUA,,RIO BRANCO,"18","24"
"352940105000013","001","005",RUA,SAO,SIMAO,"2","2"
"352940105000013","002","001",RUA,SANTA,CRISTINA,"18","18"
"352940105000013","002","002",RUA,SANTO,HILARIO,"12","12"
"352940105000013","002","003",RUA,,RAFAEL CORREIA,"45","47"
"352940105000013","002","004",RUA,SANTO,ESTEVAO,"1","2"
"352940105000013","002","005",RUA,,HUMBERTO PRIMO LEARDINI,"53","53"
"352940105000013","002","006",RUA,,RIO BRANCO,"5","10"
"352940105000013","002","007",VIELA,,SEM NOME,"0","0"
"352940105000013","007","001",RUA,,RIO BRANCO,"0","0"
"352940105000015",,,,,,,
"352940105000015",,,,,,,
"352940105000015","001","001",AVENIDA,CAPITAO,JOAO,"1","5"
"352940105000015","001","002",RUA,,VITORIO VENETO,"8","10"
"352940105000015","001","003",RUA,,INOCENCIO RODRIGUES,"9","11"
"352940105000015","001","004",AVENIDA,,PORTUGAL,"5","11"
"352940105000015","002","001",RUA,,INOCENCIO RODRIGUES,"1","1"
"352940105000015","002","002",RUA,,VITORIO VENETO,"118","118"
"352940105000015","002","003",RUA,,ONZE DE JUNHO,"0","0"
"352940105000015","002","004",RUA,,BENEDITA AUGUSTO DO NASCIMENTO,"6","6"
"352940105000015","007","001",RUA,,INOCENCIO RODRIGUES,"2","2"
"352940105000015","007","002",RUA,,BENEDITA AUGUSTO DO NASCIMENTO,"11","11"
"352940105000015","007","003",RUA,,ONZE DE JUNHO,"4","4"
"352940105000015","007","004",AVENIDA,,PORTUGAL,"8","10"
"352940105000016",,,,,,,
"352940105000016",,,,,,,
"352940105000016",,,,,,,
"352940105000016",,,,,,,
"352940105000016",,,,,,,
"352940105000016",,,,,,,
"352940105000016",,,,,,,
"352940105000016","001","001",AVENIDA,CAPITAO,JOAO,"1","4"
"352940105000016","001","002",AVENIDA,,PORTUGAL,"4","8"
"352940105000016","001","003",RUA,,CESAR AVANCI,"4","4"
"352940105000016","001","004",RUA,SAO,SILVESTRE,"2","6"
"352940105000016","002","001",RUA,,CESAR AVANCI,"0","2"
"352940105000016","002","002",AVENIDA,,PORTUGAL,"0","3"
"352940105000016","002","003",RUA,,BIAGIO CECON,"0","1"
"352940105000016","002","004",RUA,SAO,SILVESTRE,"1","3"
"352940105000016","003","001",RUA,,BIAGIO CECON,"0","4"
"352940105000016","003","002",AVENIDA,,PORTUGAL,"5","13"
"352940105000016","003","003",RUA,,MANOEL HENRIQUE NOGUEIRA,"0","2"
"352940105000016","003","004",AVENIDA,DOM,JOSE GASPAR,"7","20"
"352940105000016","004","001",RUA,,MANOEL HENRIQUE NOGUEIRA,"10","14"
"352940105000016","004","002",AVENIDA,,PORTUGAL,"2","5"
"352940105000016","004","003",RUA,,AURELIO VARIM,"3","5"
"352940105000016","004","004",AVENIDA,DOM,JOSE GASPAR,"0","4"
"352940105000016","005","001",RUA,,AURELIO VARIM,"2","2"
"352940105000016","005","002",AVENIDA,,PORTUGAL,"2","7"
"352940105000016","005","003",RUA,,AQUIDABAM,"0","5"
"352940105000016","005","004",AVENIDA,DOM,JOSE GASPAR,"4","8"
"352940105000016","006","001",RUA,,AQUIDABAM,"3","5"
"352940105000016","006","002",AVENIDA,,PORTUGAL,"9","13"
"352940105000016","006","003",RUA,,LUIZ BERTUCHI,"8","8"
"352940105000016","006","004",AVENIDA,DOM,JOSE GASPAR,"3","14"
"352940105000016","007","001",RUA,,LUIZ BERTUCHI,"10","10"
"352940105000016","007","002",AVENIDA,,PORTUGAL,"2","8"
"352940105000016","007","003",RUA,,PORTO FELIZ,"4","9"
"352940105000016","007","004",AVENIDA,DOM,JOSE GASPAR,"2","7"
"352940105000016","008","001",RUA,,AQUIDABAM,"6","7"
"352940105000016","008","002",RUA,,BENEDITA AUGUSTO DO NASCIMENTO,"26","28"
"352940105000016","008","003",RUA,,ELIZA COGHETO,"8","11"
"352940105000016","008","004",AVENIDA,,PORTUGAL,"4","9"
"352940105000016","009","001",RUA,,ELIZA COGHETO,"75","78"
"352940105000016","009","002",RUA,,VITORIO VENETO,"11","11"
"352940105000016","009","003",RUA,,JOSE ERMIRIO DE MORAES FILHO,"24","24"
"352940105000016","009","004",AVENIDA,,PORTUGAL,"10","16"
"352940105000017","001","001",RUA,,JUNDIAI,"4","4"
"352940105000017","001","002",RUA,SAO,MATEUS,"21","23"
"352940105000017","001","003",RUA,,PIRACICABA,"8","8"
"352940105000017","001","005",RUA,,PORTO FELIZ,"0","0"
"352940105000017","001","006",RUA,,SOROCABA,"10","15"
"352940105000017","002","001",RUA,,JUNDIAI,"33","33"
"352940105000017","002","002",RUA,,AVARE,"9","11"
"352940105000017","002","003",RUA,SAO,MATEUS,"35","36"
"352940105000017","003","001",RUA,,JUNDIAI,"2","3"
"352940105000017","003","002",RUA,SAO,JOSE,"1","2"
"352940105000017","003","003",RUA,SAO,ROQUE,"24","24"
"352940105000017","003","004",RUA,,LIMEIRA,"6","7"
"352940105000017","003","005",RUA,,AVARE,"13","15"
"352940105000017","011","002",RUA,,PORTO FELIZ,"7","10"
"352940105000017","011","003",RUA,,RIBEIRAO PRETO,"1","1"
"352940105000017","011","004",RUA,SAO,MATEUS,"11","13"
"352940105000017","011","005",RUA,,AVARE,"0","0"
"352940105000017","012","002",RUA,,RIBEIRAO PRETO,"18","18"
"352940105000017","012","003",RUA,,PORTO FELIZ,"1","2"
"352940105000017","012","004",RUA,,PIRACICABA,"0","1"
"352940105000018","001","001",RUA,,PORTO FELIZ,"0","4"
"352940105000018","001","002",RUA,,RIBEIRAO PRETO,"2","3"
"352940105000018","001","003",RUA,,CEDRAL,"18","21"
"352940105000018","001","004",AVENIDA,,QUEIROZ PEDROSO,"0","1"
"352940105000018","002","001",RUA,,PORTO FELIZ,"0","1"
"352940105000018","002","002",RUA,,LIMEIRA,"15","16"
"352940105000018","002","003",RUA,,SAO CAETANO,"0","1"
"352940105000018","002","004",RUA,,DIADEMA,"0","0"
"352940105000018","002","005",RUA,SANTA,BARBARA DO OESTE,"0","0"
"352940105000018","002","006",RUA,,CEDRAL,"52","52"
"352940105000018","002","007",RUA,,RIBEIRAO PRETO,"0","2"
"352940105000018","014","001",RUA,,CEDRAL,"6","8"
"352940105000018","014","002",RUA,,RIBEIRAO PRETO,"8","8"
"352940105000018","014","003",AVENIDA,,QUEIROZ PEDROSO,"3","7"
"352940105000019","001","001",RUA,,RIBEIRAO PRETO,"1","1"
"352940105000019","001","002",RUA,,ARARAQUARA,"16","17"
"352940105000019","001","003",RUA,,MIRASSOL,"1","1"
"352940105000019","001","004",AVENIDA,,QUEIROZ PEDROSO,"27","30"
"352940105000019","002","001",RUA,,RIBEIRAO PRETO,"4","4"
"352940105000019","002","002",RUA,,CEDRAL,"4","4"
"352940105000019","002","003",RUA,SAO,MANUEL,"28","28"
"352940105000019","002","004",RUA,,ARARAQUARA,"11","13"
"352940105000019","003","001",RUA,,CEDRAL,"3","3"
"352940105000019","003","002",RUA,,MIRASSOL,"5","7"
"352940105000019","003","003",VIELA,,BELMIRO FERRAZ,"0","0"
"352940105000019","003","004",RUA,SAO,MANUEL,"9","10"
"352940105000019","013","001",RUA,SAO,MANUEL,"6","6"
"352940105000019","013","002",VIELA,,BELMIRO FERRAZ,"0","0"
"352940105000019","013","003",RUA,,MIRASSOL,"4","5"
"352940105000019","013","004",RUA,,ARARAQUARA,"1","1"
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
"352940105000020",,,,,,,
